|KDFT        |540   kHz |AM |-   |DA2 |Nighttime           |D  |B  |LIC    |FERRIS                   |TX |US |BL     -20020816AAZ |0.249  kW |-         |-       |-       |145        |N |32 |30 |52.00 |W |96  |34 |26.00 |WAY BROADCASTING LICENSEE, LLC                                                                      |   0.00 km |   0.00 mi |  0.00 deg |611240    |
|WDAK        |540   kHz |AM |-   |ND2 |Daytime             |D  |B  |LIC    |COLUMBUS                 |GA |US |BL     -20061108AJK |4.0    kW |-         |-       |-       |60764      |N |32 |25 |58.00 |W |84  |57 |2.00  |IHM LICENSES, LLC                                                                                   |   0.00 km |   0.00 mi |  0.00 deg |1162358   |
|WDAK        |540   kHz |AM |-   |ND2 |Nighttime           |D  |B  |LIC    |COLUMBUS                 |GA |US |BL     -20061108AJK |0.038  kW |-         |-       |-       |60764      |N |32 |25 |58.00 |W |84  |57 |2.00  |IHM LICENSES, LLC                                                                                   |   0.00 km |   0.00 mi |  0.00 deg |1162358   |
|WFLF        |540   kHz |AM |-   |DA2 |Daytime             |B  |B  |LIC    |PINE HILLS               |FL |US |BL     -20090619ADT |50.0   kW |-         |-       |-       |51970      |N |28 |28 |53.00 |W |81  |39 |43.00 |CLEAR CHANNEL BROADCASTING LICENSES, INC.                                                           |   0.00 km |   0.00 mi |  0.00 deg |1319957   |
|WFLF        |540   kHz |AM |-   |DA2 |Nighttime           |B  |B  |LIC    |PINE HILLS               |FL |US |BL     -20090619ADT |46.0   kW |-         |-       |-       |51970      |N |28 |28 |53.00 |W |81  |39 |43.00 |CLEAR CHANNEL BROADCASTING LICENSES, INC.                                                           |   0.00 km |   0.00 mi |  0.00 deg |1319957   |
|WBWD        |540   kHz |AM |-   |DA2 |Daytime             |B  |B  |LIC    |ISLIP                    |NY |US |BL     -20100216AES |10.0   kW |-         |-       |-       |37805      |N |40 |45 |6.00  |W |73  |12 |50.00 |UNIVERSAL STATIONS LLC                                                                              |   0.00 km |   0.00 mi |  0.00 deg |1357036   |
|WBWD        |540   kHz |AM |-   |DA2 |Nighttime           |B  |B  |LIC    |ISLIP                    |NY |US |BL     -20100216AES |0.22   kW |-         |-       |-       |37805      |N |40 |45 |6.00  |W |73  |12 |50.00 |UNIVERSAL STATIONS LLC                                                                              |   0.00 km |   0.00 mi |  0.00 deg |1357036   |
|KMLB        |540   kHz |AM |-   |ND2 |Daytime             |D  |B  |LIC    |MONROE                   |LA |US |BL     -20110914AEN |4.0    kW |-         |-       |-       |35249      |N |32 |37 |19.00 |W |92  |3  |51.00 |HOLLADAY BROADCASTING OF LOUISIANA, LLC                                                             |   0.00 km |   0.00 mi |  0.00 deg |1446309   |
|KMLB        |540   kHz |AM |-   |ND2 |Nighttime           |D  |B  |LIC    |MONROE                   |LA |US |BL     -20110914AEN |0.026  kW |-         |-       |-       |35249      |N |32 |37 |19.00 |W |92  |3  |51.00 |HOLLADAY BROADCASTING OF LOUISIANA, LLC                                                             |   0.00 km |   0.00 mi |  0.00 deg |1446309   |
|WKFN        |540   kHz |AM |-   |ND2 |Daytime             |D  |B  |LIC    |CLARKSVILLE              |TN |US |BL     -20111209KKQ |4.0    kW |-         |-       |-       |65202      |N |36 |32 |31.00 |W |87  |19 |32.00 |SAGA COMMUNICATIONS OF TUCKESSEE, LLC                                                               |   0.00 km |   0.00 mi |  0.00 deg |1480381   |
|WKFN        |540   kHz |AM |-   |ND2 |Nighttime           |D  |B  |LIC    |CLARKSVILLE              |TN |US |BL     -20111209KKQ |0.055  kW |-         |-       |-       |65202      |N |36 |32 |31.00 |W |87  |19 |32.00 |SAGA COMMUNICATIONS OF TUCKESSEE, LLC                                                               |   0.00 km |   0.00 mi |  0.00 deg |1480381   |
|WRGC        |540   kHz |AM |-   |ND2 |Daytime             |D  |B  |LIC    |SYLVA                    |NC |US |BL     -20111213ADB |5.0    kW |-         |-       |-       |73286      |N |35 |23 |35.00 |W |83  |11 |38.00 |FIVE FORTY BROADCASTING COMPANY, LLC                                                                |   0.00 km |   0.00 mi |  0.00 deg |1495706   |
|WRGC        |540   kHz |AM |-   |ND2 |Nighttime           |D  |B  |LIC    |SYLVA                    |NC |US |BL     -20111213ADB |0.14   kW |-         |-       |-       |73286      |N |35 |23 |35.00 |W |83  |11 |38.00 |FIVE FORTY BROADCASTING COMPANY, LLC                                                                |   0.00 km |   0.00 mi |  0.00 deg |1495706   |
|KRXA        |540   kHz |AM |-   |DA2 |Daytime             |B  |B  |LIC    |CARMEL VALLEY            |CA |US |BML    -20130516AOS |10.0   kW |-         |-       |-       |9849       |N |36 |39 |36.00 |W |121 |32 |29.00 |EL SEMBRADOR MINISTRIES                                                                             |   0.00 km |   0.00 mi |  0.00 deg |1561480   |
|KRXA        |540   kHz |AM |-   |DA2 |Nighttime           |B  |B  |LIC    |CARMEL VALLEY            |CA |US |BML    -20130516AOS |0.5    kW |-         |-       |-       |9849       |N |36 |39 |36.00 |W |121 |32 |29.00 |EL SEMBRADOR MINISTRIES                                                                             |   0.00 km |   0.00 mi |  0.00 deg |1561480   |
